submission_date,state,tot_cases,new_case,tot_death,new_death
2/10/2020,AL,15,1,0,0
2/11/2020,AL,15,0,0,0
2/12/2020,AL,15,0,0,0
2/13/2020,AL,16,1,0,0
2/14/2020,AL,17,1,0,0
2/15/2020,AL,19,2,0,0
2/16/2020,AL,19,0,0,0
2/17/2020,AL,23,4,0,0
2/18/2020,AL,23,0,0,0
2/19/2020,AL,23,0,0,0
2/20/2020,AL,24,1,0,0
2/21/2020,AL,26,2,0,0
2/22/2020,AL,26,0,0,0
2/23/2020,AL,27,1,0,0
2/24/2020,AL,31,4,0,0
2/25/2020,AL,32,1,0,0
2/26/2020,AL,34,2,0,0
2/27/2020,AL,40,6,1,1
2/28/2020,AL,44,4,1,0
2/29/2020,AL,47,3,1,0
3/1/2020,AL,61,14,1,0
3/2/2020,AL,68,7,1,0
3/3/2020,AL,78,10,1,0
3/4/2020,AL,87,9,1,0
3/5/2020,AL,95,8,1,0
3/6/2020,AL,103,8,1,0
3/7/2020,AL,116,13,1,0
3/8/2020,AL,130,14,1,0
3/9/2020,AL,156,26,1,0
3/10/2020,AL,180,24,1,0
3/11/2020,AL,209,29,1,0
3/12/2020,AL,246,37,1,0
3/13/2020,AL,309,63,1,0
3/14/2020,AL,384,75,1,0
3/15/2020,AL,451,67,2,1
3/16/2020,AL,563,112,2,0
3/17/2020,AL,687,124,3,1
3/18/2020,AL,824,137,3,0
3/19/2020,AL,944,120,4,1
3/20/2020,AL,1099,155,4,0
3/21/2020,AL,1218,119,4,0
3/22/2020,AL,1340,122,4,0
3/23/2020,AL,1555,215,5,1
3/24/2020,AL,1714,159,6,1
3/25/2020,AL,1889,175,10,4
3/26/2020,AL,2067,178,12,2
3/27/2020,AL,2296,229,22,10
3/28/2020,AL,2437,141,27,5
3/29/2020,AL,2566,129,32,5
3/30/2020,AL,2815,249,41,9
3/31/2020,AL,3026,211,49,8
4/1/2020,AL,3222,196,56,7
4/2/2020,AL,3445,223,59,3
4/3/2020,AL,3653,208,67,8
4/4/2020,AL,3798,145,71,4
4/5/2020,AL,3955,157,84,13
4/6/2020,AL,4254,299,95,11
4/7/2020,AL,4490,236,108,13
4/8/2020,AL,4693,203,118,10
4/9/2020,AL,4901,208,129,11
4/10/2020,AL,5080,179,141,12
4/11/2020,AL,5199,119,150,9
4/12/2020,AL,5311,112,160,10
4/13/2020,AL,5571,260,168,8
4/14/2020,AL,5747,176,180,12
4/15/2020,AL,5912,165,192,12
4/16/2020,AL,6123,211,204,12
4/17/2020,AL,6329,206,222,18
4/18/2020,AL,6522,193,239,17
4/19/2020,AL,6648,126,248,9
4/20/2020,AL,6939,291,256,8
4/21/2020,AL,7195,256,265,9
4/22/2020,AL,7439,244,283,18
4/23/2020,AL,7642,203,295,12
4/24/2020,AL,7852,210,309,14
4/25/2020,AL,8067,215,322,13
4/26/2020,AL,8239,172,337,15
4/27/2020,AL,8570,331,349,12
4/28/2020,AL,8880,310,361,12
4/29/2020,AL,9142,262,372,11
4/30/2020,AL,9438,296,386,14
5/1/2020,AL,9786,348,404,18
5/2/2020,AL,9919,133,416,12
5/3/2020,AL,10088,169,436,20
5/4/2020,AL,10415,327,455,19
5/5/2020,AL,10727,312,480,25
5/6/2020,AL,11039,312,491,11
5/7/2020,AL,11322,283,500,9
